宫/B 寒/M 月/B 经/M 过/M 少/M 吃/B 什/M 么/M 药/B
宫/B 缩/M 频/B 繁/M 伴/B 有/M 疼/B 痛/M ,/B 出/B 血/M
宫/B 腔/B 内/B 可/B 见/M 大/B 小/M 约/B 2/B 8/M m/M m/M x/M 1/M 4/M
宫/B 腔/B 内/B 界/B 不/B 清/B 什/B 么/M 意/B 思/M ,/B
宫/B 颈/M 多/B 发/M 纳/B 式/B 泡/B 严/B 重/M 吗/B ?/B
宫/B 颈/M 息/M 肉/M 手/B 术/M 阴/B 道/M 松/B 弛/M
宫/B 颈/M 癌/M 能/B 转/B 移/M 到/B 胃/B 癌/M 吗/B ?/B
宫/B 颈/M 糜/M 烂/M 3/B 度/B 是/B 怎/B 么/M 回/M 事/M
寄/B 生/M 虫/M 病/M 会/B 引/M 起/M 头/B 疼/M 吗/B ?/B
小/B 儿/M 为/B 1/B 点/B 至/B 三/B 点/B 不/B 好/M 睡/B
小/B 儿/M 发/B 烧/M ./B 还/B 应/B 吃/B 什/M 么/M 药/B
小/B 儿/M 肘/B 关/M 节/M 外/B 髁/B x/B 线/M 解/B 剖/M
小/B 儿/M 肠/B 胃/M 不/B 好/M ,/B 精/B 神/M 不/B 好/M
小/B 儿/M 黄/B 疸/M 和/B 血/B 型/M 有/B 关/M 么/B ?/B
小/B 别/M 离/M 女/B 孩/M 去/B 美/B 国/M 了/B 吗/B
小/B 孩/M 3/B 岁/B 之/B 前/B 长/B 几/B 颗/B 牙/B 齿/M
小/B 孩/M 3/B 岁/B 发/B 现/M 好/B 似/M 烂/B 大/B 牙/M
小/B 孩/M 上/B 学/M 几/B 点/M 睡/B 觉/M 最/B 好/M ?/B
小/B 孩/M 做/B 磁/B 共/M 振/M 受/B 不/M 了/M 吗/B ?/B
小/B 孩/M 发/B 遗/B 症/B 是/B 怎/B 么/M 回/M 事/M ?/B
小/B 孩/M 头/B 有/B 一/B 眩/B 晕/M 怎/B 么/M 办/M ?/B
小/B 孩/M 子/M 可/B 以/M 吃/B 乳/B 果/M 糖/M 吗/B ?/B
小/B 孩/M 子/M 喝/B 多/B 优/B 酸/B 奶/M 好/B 吗/B ?/B
小/B 孩/M 的/B 黄/B 胆/M 1/B 4/M ./M 1/M 是/B 正/B 常/M 吗/B
小/B 孩/M 的/B 鼻/B 屎/M 怎/B 么/M 往/B 出/B 弄/B ?/B
小/B 孩/M 红/B 眼/M 病/M 需/B 要/M 隔/B 离/M 吗/B ?/B
小/B 孩/M 腿/B 疼/M 是/B 怎/B 么/M 回/M 事/M 3/B 岁/B
小/B 孩/M 被/B 抱/B 走/M ,/B 自/B 己/M 走/M 回/B 来/M
小/B 孩/M 调/B 皮/M 为/B 什/M 么/M 出/B 汗/M 多/B ?/B
小/B 孩/M 跑/B 操/M 以/B 后/M ,/B 浑/B 身/M 发/B 冷/M
小/B 宝/M 宝/M 感/B 冒/M 了/B 能/B 喝/B 鱼/B 汤/M ?/B
小/B 朋/M 友/M 体/B 温/M 3/B 7/M ./M 6/M 怎/B 么/M 处/B 理/M
小/B 珍/B 益/B 母/M 丸/M 男/B 人/M 能/B 吃/B 吗/B ?/B
小/B 腹/M 周/B 围/M 及/B 下/B 面/M 疼/B ,/B 贫/B 血/M
小/B 腿/M 青/B 紫/M 血/B 常/M 规/M 没/B 问/M 题/M
小/B 苏/M 打/M 治/B 妇/B 科/M m/B ./M 1/M 2/M 0/M a/M s/M k/M ./M c/M o/M m/M
尖/B 锐/M 到/B 底/M 能/B 不/M 能/M 吃/B 甜/B 的/B ?/B
尖/B 锐/M 湿/M 庞/B 间/B 接/M 传/B 染/M 概/B 率/M
尖/B 锐/M 湿/M 疣/M 能/B 完/B 全/M 治/B 好/B 吗/B ?/B
尖/B 锐/M 湿/M 疣/M 除/B 了/M 性/B 传/B 染/M 吗/B ?/B
尿/B 道/M 口/M 红/B 肿/M ,/B 龟/B 头/M 有/B 疤/B 痕/M
尿/B 道/M 痒/B 射/B 精/M 痛/B ,/B 怎/B 么/M 回/M 事/M
尿/B 酸/M 高/B 紫/B 菜/M 有/B 含/B 嘌/B 呤/M 吗/B ?/B
屁/B 股/M 尾/B 骨/M 长/B 了/B 个/B 包/B ,/B 好/B 痛/B
屁/B 股/M 长/B 痘/B 痘/M 怎/B 么/M 回/M 事/M 疼/B
山/B 东/M 卫/M 视/M 调/B 查/M 买/B 保/B 健/M 品/M
山/B 东/M 罗/B 欣/M 头/B 孢/M 克/M 肟/M 片/M 9/B 片/B
左/B 下/B 腹/M 压/B 痛/M ,/B 一/B 压/B 就/B 打/B 嗝/M
左/B 侧/M 乳/B 房/M 上/B 方/M 疼/B 咋/B 回/B 是/B 3/B
左/B 眼/M 1/B 2/M 点/B 1/B 0/M 跳/B 是/B 怎/B 么/M 回/M 事/M
左/B 脸/M 感/B 觉/M 麻/B 木/M ,/B 神/B 经/M 微/B 跳/B
左/B 边/M 脸/B 总/B 是/M 跳/B 怎/B 么/M 回/M 事/M ?/B
左/B 锁/B 骨/M 淋/B 巴/M 结/M 3/B 年/B 了/B 不/B 消/M
平/B 均/M 血/B 红/M 蛋/M 白/M 量/B (/B m/B c/M h/M )/B 2/B 6/M ./M 1/M 0/M
平/B 时/M 上/B 课/M 戴/B 眼/M 镜/M 会/B 变/B 形/M ?/B
幼/B 儿/M 6/B 岁/M 正/B 常/M 视/B 力/M 为/B 多/B 少/M
广/B 州/M 同/B 德/M 医/B 院/M #/B 耳/B 鼻/M 喉/M 科/M
广/B 州/M 市/M 妇/B 幼/M 保/M 健/M 院/M 人/B 流/M
康/B 宝/M 莱/M 可/B 以/M 调/B 养/M 很/B 多/M 病/B ?/B
开/B 胃/M 健/B 脾/M 丸/M 吃/B 了/B 4/B 瓶/B 可/B 以/M
弄/B 完/B 山/B 药/M 手/B 背/M 痒/B 怎/B 么/M 办/M ?/B
引/B 产/M 后/B 3/B 天/B 恶/B 露/M 有/B 黏/B 条/B 子/M
彩/B 超/M 6/B 个/B 月/B 检/B 查/M 女/B 孩/M 准/B 吗/B
彻/B 切/B 伤/B 口/M 没/B 好/B 能/B 洗/B 澡/M 吗/B ?/B
得/B 水/B 痘/M 后/B 突/B 然/M 时/B 间/M 变/B 长/B
微/B 创/M 手/M 术/M 多/B 久/M 可/B 以/M 洗/B 澡/M
德/B 替/B 卡/B 韦/M 一/B 定/M 要/M 2/B 小/B 时/M 吗/B
心/B 烦/M ,/B 吐/B 苦/M 水/M 是/B 什/M 么/M 情/B 况/M
心/B 电/M 图/M 检/B 查/M 窦/B 性/M 心/M 律/M -/B 1/B 1/M 0/M
心/B 脏/M 病/M 会/B 引/M 起/M 肚/B 子/M 疼/M 吗/B ?/B
心/B 跳/M 一/B 会/M 7/B 0/M 一/B 会/M 8/B 0/M 正/B 常/M 吗/B
心/B 里/M 资/B 询/M 上/B 哪/B 个/M 医/B 院/M 好/B ?/B
怀/B 二/B 胎/M 做/B b/B 超/M 能/B 不/M 能/M 发/B 现/M
怀/B 孕/M 卵/B 巢/M 可/B 见/M 黄/B 体/B 彩/M 环/B
怀/B 孕/M 多/B 长/M 时/M 间/M 性/B 交/M 一/B 次/M
怀/B 孕/M 糖/B 耐/M 餐/B 后/B 2/B 小/B 时/M 8/B ./M 6/M 4/M
怀/B 孕/M 1/B 0/M 0/M 天/B 了/B ,/B 嘴/B 苦/B 怎/B 么/M 办/M
怀/B 孕/M 1/B 3/M 周/B 还/B 能/M 做/B n/B t/M 检/B 查/M 吗/B
怀/B 孕/M 1/B 个/B 月/B 能/B 抚/B 摸/M 肚/B 子/M 吗/B
怀/B 孕/M 2/B 个/B 月/B 感/B 冒/M 了/B 怎/B 么/M 办/M
